iter	Passed	Remaining
0	20	30102
1	42	32192
2	65	32592
3	95	35799
4	111	33427
5	129	32327
6	146	31281
7	163	30456
8	179	29748
9	197	29432
10	214	29057
11	230	28597
12	252	28889
13	268	28549
14	290	28721
15	305	28367
16	321	28056
17	337	27805
18	358	27978
19	376	27877
20	393	27735
21	409	27519
22	425	27324
23	442	27184
24	463	27351
25	480	27237
26	496	27098
27	512	26956
28	528	26820
29	545	26717
30	563	26691
31	579	26607
32	595	26494
33	612	26409
34	628	26305
35	643	26173
36	659	26089
37	675	25981
38	692	25937
39	708	25856
40	724	25776
41	750	26039
42	773	26194
43	795	26313
44	811	26224
45	826	26134
46	844	26123
47	860	26045
48	876	25955
49	893	25911
50	909	25838
51	928	25859
52	944	25783
53	969	25971
54	987	25940
55	1003	25875
56	1020	25833
57	1036	25763
58	1052	25698
59	1067	25628
60	1085	25597
61	1103	25593
62	1120	25567
63	1137	25513
64	1152	25451
65	1169	25400
66	1184	25333
67	1199	25259
68	1216	25232
69	1231	25153
70	1247	25098
71	1262	25044
72	1279	25020
73	1295	24967
74	1311	24923
75	1328	24893
76	1345	24861
77	1361	24825
78	1376	24763
79	1391	24706
80	1407	24660
81	1424	24627
82	1439	24579
83	1457	24562
84	1472	24513
85	1488	24479
86	1504	24431
87	1519	24384
88	1536	24362
89	1552	24317
90	1567	24266
91	1583	24229
92	1599	24199
93	1618	24203
94	1635	24182
95	1649	24131
96	1665	24091
97	1681	24049
98	1696	24006
99	1712	23968
100	1725	23907
101	1744	23910
102	1760	23879
103	1775	23831
104	1790	23792
105	1807	23772
106	1822	23727
107	1838	23698
108	1854	23668
109	1869	23618
110	1885	23589
111	1902	23571
112	1918	23551
113	1934	23519
114	1954	23537
115	1979	23613
116	1997	23606
117	2015	23610
118	2054	23842
119	2084	23970
120	2104	23979
121	2121	23959
122	2138	23936
123	2154	23905
124	2171	23891
125	2186	23847
126	2201	23802
127	2217	23765
128	2231	23719
129	2246	23679
130	2263	23658
131	2279	23628
132	2295	23591
133	2310	23554
134	2330	23563
135	2348	23552
136	2363	23516
137	2379	23487
138	2395	23452
139	2411	23423
140	2426	23382
141	2441	23347
142	2456	23314
143	2606	24547
144	2659	24855
145	2676	24821
146	2692	24784
147	2707	24734
148	2723	24694
149	2741	24669
150	2755	24617
151	2770	24570
152	2784	24515
153	2799	24470
154	2814	24425
155	2833	24407
156	2848	24364
157	2862	24317
158	2878	24278
159	2894	24239
160	2909	24197
161	2925	24160
162	2941	24126
163	2958	24097
164	2973	24061
165	2996	24081
166	3014	24060
167	3029	24017
168	3044	23975
169	3060	23942
170	3074	23897
171	3089	23854
172	3106	23831
173	3122	23791
174	3136	23751
175	3153	23722
176	3168	23684
177	3184	23652
178	3202	23635
179	3217	23597
180	3233	23561
181	3249	23529
182	3262	23482
183	3277	23444
184	3293	23410
185	3309	23381
186	3324	23342
187	3340	23310
188	3364	23338
189	3380	23310
190	3399	23295
191	3415	23266
192	3432	23246
193	3447	23211
194	3461	23165
195	3475	23124
196	3490	23088
197	3506	23054
198	3525	23051
199	3544	23042
200	3558	22999
201	3574	22965
202	3589	22933
203	3620	23001
204	3635	22966
205	3651	22935
206	3666	22902
207	3681	22867
208	3699	22851
209	3715	22825
210	3732	22802
211	3747	22766
212	3762	22734
213	3778	22708
214	3802	22725
215	3818	22697
216	3834	22673
217	3850	22644
218	3865	22610
219	3883	22593
220	3898	22561
221	3913	22529
222	3930	22508
223	3946	22482
224	3963	22458
225	3978	22424
226	3993	22394
227	4008	22365
228	4024	22336
229	4038	22299
230	4058	22293
231	4073	22261
232	4086	22222
233	4102	22193
234	4117	22162
235	4132	22135
236	4148	22110
237	4164	22083
